publication_id,doi,pmid,title,journal,year,authors_raw,author_orcids,citations,rcr,keywords,url,tenant,security_label,access_policy,claim_status,confidence,evidence_source,ingestion_agent,generated_at
34f1b5d7-0c09-4ad2-810f-9ffb8646fb4e,,41331138,CaBLAM: a high-contrast bioluminescent Ca<sup>2+</sup> indicator derived from an engineered Oplophorus gracilirostris luciferase.,Nat Methods,2026,"Lambert, Gerard G, Crespo, Emmanuel L, Murphy, Jeremy, Turner, Kevin L, Gershowitz, Emily, Cunningham, Michaela, Boassa, Daniela, Luong, Selena, Celinskis, Dmitrijs, Allen, Justine J, Venn, Stephanie, Zhu, Yunlu, Karadas, Mürsel, Chen, Jiakun, Marisca, Roberta, Gelnaw, Hannah, Nguyen, Daniel K, Hu, Junru, Sprecher, Brittany N, Tree, Maya O, Orcutt, Richard, Heydari, Daniel, Bell, Aidan B, Torreblanca-Zanca, Albertina, Hakimi, Ali, Czopka, Tim, Shoham, Shy, Nagel, Katherine I, Schoppik, David, Andrade, Arturo, Lipscombe, Diane, Moore, Christopher I, Hochgeschwender, Ute, Shaner, Nathan C",0000-0001-5595-8548;0000-0002-3044-7079;0009-0007-6475-0379;0000-0003-4631-4139;0000-0001-9974-4226;0000-0002-7970-796X;0000-0001-5032-3834;0000-0002-1016-6093;0000-0001-7969-9632;0000-0003-4534-1602;0000-0002-0148-0769,2,0,Animals;Calcium;Luminescent Measurements;Luciferases;Neurons;Calcium Signaling;Mice;Humans;HEK293 Cells,https://pubmed.ncbi.nlm.nih.gov/41331138/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
b9eade70-cfdd-4e64-93de-d3388fa35978,,41571550,The FDA's plan to phase out animal testing.,Trends Biotechnol,2026,"Gerke, Sara, Balamut, Jacob, Wagner, Jennifer K",,4,0,FDA;FDA Modernization Act 2.0 and 3.0;NAMs;New Approach Methodologies;animal testing,https://pubmed.ncbi.nlm.nih.gov/41571550/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
ef5f9a9f-055b-4053-918e-d8e2fde0551e,,38826315,How cortico-basal ganglia-thalamic subnetworks can shift decision policies to maximize reward rate.,bioRxiv,2025,"Bahuguna, Jyotika, Verstynen, Timothy, Rubin, Jonathan E",0000-0002-2858-5325;0000-0003-4720-0336;0000-0002-1513-1551,2,0,,https://pubmed.ncbi.nlm.nih.gov/38826315/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
7ac42f55-136d-40f0-b8e6-c73b2bcf56f1,,38979377,Distinct dopaminergic spike-timing-dependent plasticity rules are suited to different functional roles.,bioRxiv,2025,"Sosis, Baram, Rubin, Jonathan E",0009-0008-0033-5691;0000-0002-1513-1551,0,0,Action selection;Basal ganglia;Dopamine;Reward prediction;STDP;Synaptic plasticity;Value estimation,https://pubmed.ncbi.nlm.nih.gov/38979377/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
8201e8df-6e23-4af5-987a-f233402fcd5a,,40527329,Prioritized learning of cross-population neural dynamics.,J Neural Eng,2025,"Jha, Trisha, Sani, Omid G, Pesaran, Bijan, Shanechi, Maryam M",0009-0002-7532-8142;0000-0003-3032-5669;0000-0003-4116-0038;0000-0002-0544-7720,0,0,"dimensionality reduction;linear dynamical systems;multiregional modeling;Models, Neurological;Brain Mapping;Neural Pathways;Motor Cortex;Stereotaxic Techniques;Animals;Haplorhini;Algorithms",https://pubmed.ncbi.nlm.nih.gov/40527329/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
a8446c7f-0802-4859-8726-a989967dae4c,,40582587,GMFOLD: Subgraph matching for high-throughput DNA-aptamer secondary structure classification and machine learning interpretability.,Math Biosci,2025,"Climaco, Paolo, Mitchell, Noelle M, Tyler, Matthew J, Yang, Kyungae, Andrews, Anne M, Bertozzi, Andrea L",,0,0,"Aptamer;DNA descriptors;DNA folding;Motzkin paths;SELEX;Spectral clustering;Subgraph matching;Topic modeling;Aptamers, Nucleotide;Machine Learning;Nucleic Acid Conformation;Algorithms;Computational Biology",https://pubmed.ncbi.nlm.nih.gov/40582587/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
261076a5-3865-41cb-8af2-4c6ee4f5fcd4,,41093749,Prefrontal and Subcortical c-Fos Mapping of Reward Responses across Competitive and Social Contexts.,eNeuro,2025,"De Paula Cunha Almeida, Caroline, Cum, Meghan, Illescas-Huerta, Elizabeth, Chambers, Amelia, Ye, Charles, Shah, Aarna, Jain, Ayush, Li, Albert, Padilla-Coreano, Nancy",0009-0004-9299-992X;0009-0005-4097-1666;0009-0000-8962-6904;0009-0001-4532-5074;0000-0001-9293-2697,0,0,c-Fos;dominance;prefrontal;reward;social context;Animals;Reward;Male;Prefrontal Cortex;Proto-Oncogene Proteins c-fos;Mice;Social Dominance;Competitive Behavior;Brain Mapping;Social Behavior,https://pubmed.ncbi.nlm.nih.gov/41093749/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
6fb73bfd-21d3-484e-a8a6-237568fa20c4,,38776923,Chemical interplay between gut microbiota and epigenetics: Implications in circadian biology.,Cell Chem Biol,2025,"Sharma, Samskrathi Aravinda, Oladejo, Sarah Olanrewaju, Kuang, Zheng",,11,5.462179338519115,"HDAC;SCFAs;circadian clock;histone modification;immunity;metabolism;metabolites;microbiome;Gastrointestinal Microbiome;Humans;Epigenesis, Genetic;Circadian Rhythm;Animals",https://pubmed.ncbi.nlm.nih.gov/38776923/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
12e91326-158d-4b16-acb2-143e06c21732,,41536438,Delivery of Angiogenic Therapy from Flowable Hyaluronic Acid Porous Scaffolds Results in Functional Improvement without Anti-Inflammatory Agents.,Adv Funct Mater,2025,"Erning, Kevin, Wilson, Katrina L, Smith, Cara S, Nguyen, Long, Joesph, Neica I, Irengo, Rachel, Cao, Lauren Y, Cumaran, Mohanapriya, Shi, Yi, Lyu, Sihan, Riley, Lindsay, Dunn, Timothy W, Carmichael, S Thomas, Segura, Tatiana",,1,0,MAP;VEGF;angiogenesis;hydrogels;microgel/microparticles;stroke;vessel maturation,https://pubmed.ncbi.nlm.nih.gov/41536438/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
e070b984-f08b-4dd0-b3c8-4f876cb3bb07,,38746090,Mimicking opioid analgesia in cortical pain circuits.,bioRxiv,2025,"Oswell, Corinna S, Rogers, Sophie A, James, Justin G, McCall, Nora M, Hsu, Alex I, Salimando, Gregory J, Mahmood, Malaika, Wooldridge, Lisa M, Wachira, Meghan, Jo, Adrienne, Ortega, Raquel Adaia Sandoval, Wojick, Jessica A, Beattie, Katherine, Farinas, Sofia A, Chehimi, Samar N, Rodrigues, Amrith, Wu, Jacqueline K, Ejoh, Lindsay L, Kimmey, Blake A, Lo, Emily, Azouz, Ghalia, Vasquez, Jose J, Banghart, Matthew R, Beier, Kevin T, Creasy, Kate Townsend, Crist, Richard C, Ramakrishnan, Charu, Reiner, Benjamin C, Deisseroth, Karl, Yttri, Eric A, Corder, Gregory",0000-0001-7248-2932,7,3.479355250604673,,https://pubmed.ncbi.nlm.nih.gov/38746090/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
6bd8067b-a6cb-4b78-9750-57b6230291bb,,41040797,Dynamical Modeling of Behaviorally Relevant Spatiotemporal Patterns in Neural Imaging Data.,ArXiv,2025,"Hosseini, Mohammad, Shanechi, Maryam M",,0,0,,https://pubmed.ncbi.nlm.nih.gov/41040797/,consortium-alpha,Public,policy-public-read,,,,crossref-ingestion-agent,2026-08-11 18:47:31.797463+00
